GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cjet-demo,com.cjet.academy,FreshmanMoveInDay,0,90,0,2,0,13,0,5,0,4
cjet-demo,com.cjet.JunitMavenCobertura,JunitMavenCoberturaApplication,5,3,0,0,2,1,1,1,1,1
